# Intensity Error [-0.333H,0.167H,0] DeltaE
#  shape: 20x70
3.513908e-01 9.795270e-02 3.250000e-01 3.850000e+00
2.902627e-01 8.461738e-02 3.250000e-01 3.950000e+00
3.121735e-01 7.811127e-02 3.250000e-01 4.050000e+00
3.086834e-01 7.709290e-02 3.250000e-01 4.150000e+00
3.152328e-01 6.428849e-02 3.250000e-01 4.250000e+00
2.084007e-01 6.211917e-02 3.250000e-01 4.350000e+00
2.057117e-01 5.829865e-02 3.250000e-01 4.450000e+00
2.713218e-01 7.403025e-02 3.250000e-01 4.550000e+00
1.878386e-01 6.299001e-02 3.250000e-01 4.650000e+00
2.314108e-01 7.772242e-02 3.250000e-01 4.750000e+00
1.716105e-01 7.353832e-02 3.250000e-01 4.850000e+00
4.888368e-02 4.888369e-02 3.250000e-01 4.950000e+00
-4.298869e-01 4.298869e-01 3.250000e-01 5.050000e+00
