# Intensity Error [0,-0.5K,0] DeltaE
#  shape: 34x70
1.109328e+00 3.459662e-01 -1.865000e+00 1.450000e+00
8.519543e-01 3.012126e-01 -1.865000e+00 1.550000e+00
1.685539e-01 1.191856e-01 -1.865000e+00 1.650000e+00
-1.606941e-04 1.260981e-01 -1.865000e+00 1.750000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 1.850000e+00
2.790678e-01 1.611201e-01 -1.865000e+00 1.950000e+00
9.267542e-02 9.267543e-02 -1.865000e+00 2.050000e+00
2.317601e-01 1.638792e-01 -1.865000e+00 2.150000e+00
1.019802e-01 1.019802e-01 -1.865000e+00 2.250000e+00
9.987623e-02 9.987624e-02 -1.865000e+00 2.350000e+00
2.418465e-01 1.710125e-01 -1.865000e+00 2.450000e+00
1.048565e-01 1.048566e-01 -1.865000e+00 2.550000e+00
-1.038398e-01 1.038398e-01 -1.865000e+00 2.650000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 2.750000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 2.850000e+00
2.004428e-01 1.417345e-01 -1.865000e+00 2.950000e+00
-1.211505e-01 1.211505e-01 -1.865000e+00 3.050000e+00
9.149040e-02 9.149040e-02 -1.865000e+00 3.150000e+00
1.919281e-01 1.357137e-01 -1.865000e+00 3.250000e+00
1.122364e-01 1.122364e-01 -1.865000e+00 3.350000e+00
1.963209e-05 1.220476e-01 -1.865000e+00 3.450000e+00
1.007933e-01 1.007933e-01 -1.865000e+00 3.550000e+00
1.011075e-01 1.011075e-01 -1.865000e+00 3.650000e+00
1.716947e-01 1.214081e-01 -1.865000e+00 3.750000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 3.850000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 3.950000e+00
-9.124147e-02 9.124147e-02 -1.865000e+00 4.050000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 4.150000e+00
-8.268473e-02 8.268473e-02 -1.865000e+00 4.250000e+00
2.085128e-01 1.474424e-01 -1.865000e+00 4.350000e+00
6.451441e-04 1.194370e-01 -1.865000e+00 4.450000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 4.550000e+00
1.322183e-03 1.328110e-01 -1.865000e+00 4.650000e+00
-8.620673e-02 8.620673e-02 -1.865000e+00 4.750000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 4.850000e+00
6.723071e-05 1.128718e-01 -1.865000e+00 4.950000e+00
9.777238e-02 9.777238e-02 -1.865000e+00 5.050000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 5.150000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 5.250000e+00
2.058001e-01 1.533748e-01 -1.865000e+00 5.350000e+00
2.640565e-01 1.524558e-01 -1.865000e+00 5.450000e+00
-8.509332e-04 1.490726e-01 -1.865000e+00 5.550000e+00
-2.055121e-04 1.802977e-01 -1.865000e+00 5.650000e+00
-8.279787e-02 8.279787e-02 -1.865000e+00 5.750000e+00
-7.046898e-02 1.584666e-01 -1.865000e+00 5.850000e+00
3.268597e-01 2.578315e-01 -1.865000e+00 5.950000e+00
4.923010e-04 1.840692e-01 -1.865000e+00 6.050000e+00
-6.497197e-02 2.462671e-01 -1.865000e+00 6.150000e+00
7.669206e-02 1.957851e-01 -1.865000e+00 6.250000e+00
-2.026345e-01 3.051686e-01 -1.865000e+00 6.350000e+00
1.361450e-01 3.662886e-01 -1.865000e+00 6.450000e+00
2.377548e-01 3.299018e-01 -1.865000e+00 6.550000e+00
6.148392e-01 3.474347e-01 -1.865000e+00 6.650000e+00
1.657280e-01 2.049468e-01 -1.865000e+00 6.750000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 6.850000e+00
0.000000e+00 0.000000e+00 -1.865000e+00 6.950000e+00
1.814259e+01 1.240204e+00 -1.835000e+00 5.000000e-02
5.651292e+00 7.295794e-01 -1.835000e+00 1.500000e-01
1.554024e+00 4.153311e-01 -1.835000e+00 2.500000e-01
1.973937e-01 1.395786e-01 -1.835000e+00 3.500000e-01
1.014386e-01 1.014386e-01 -1.835000e+00 4.500000e-01
2.239168e-01 1.583331e-01 -1.835000e+00 5.500000e-01
4.619434e-04 1.657253e-01 -1.835000e+00 6.500000e-01
1.038295e-01 1.038295e-01 -1.835000e+00 7.500000e-01
3.535576e-01 2.041267e-01 -1.835000e+00 8.500000e-01
2.300597e-01 1.626771e-01 -1.835000e+00 9.500000e-01
1.866345e-01 1.319709e-01 -1.835000e+00 1.050000e+00
2.004853e-01 1.417646e-01 -1.835000e+00 1.150000e+00
3.208839e-01 1.852625e-01 -1.835000e+00 1.250000e+00
5.150298e-01 2.102605e-01 -1.835000e+00 1.350000e+00
7.009379e-01 2.772021e-01 -1.835000e+00 1.450000e+00
4.020730e-01 2.010372e-01 -1.835000e+00 1.550000e+00
5.321619e-01 2.172549e-01 -1.835000e+00 1.650000e+00
8.577145e-02 1.911179e-01 -1.835000e+00 1.750000e+00
1.959969e-01 1.385910e-01 -1.835000e+00 1.850000e+00
8.994153e-02 8.994153e-02 -1.835000e+00 1.950000e+00
0.000000e+00 0.000000e+00 -1.835000e+00 2.050000e+00
1.959866e-01 1.385834e-01 -1.835000e+00 2.150000e+00
0.000000e+00 0.000000e+00 -1.835000e+00 2.250000e+00
0.000000e+00 0.000000e+00 -1.835000e+00 2.350000e+00
1.984047e-01 1.402933e-01 -1.835000e+00 2.450000e+00
-9.031718e-02 9.031718e-02 -1.835000e+00 2.550000e+00
8.298780e-02 8.298780e-02 -1.835000e+00 2.650000e+00
1.043639e-01 1.043639e-01 -1.835000e+00 2.750000e+00
1.873419e-01 1.324708e-01 -1.835000e+00 2.850000e+00
0.000000e+00 0.000000e+00 -1.835000e+00 2.950000e+00
1.080833e-01 1.080833e-01 -1.835000e+00 3.050000e+00
0.000000e+00 0.000000e+00 -1.835000e+00 3.150000e+00
9.052789e-02 9.052789e-02 -1.835000e+00 3.250000e+00
1.112945e-01 1.112945e-01 -1.835000e+00 3.350000e+00
8.699077e-02 8.699077e-02 -1.835000e+00 3.450000e+00
-9.778812e-02 1.692357e-01 -1.835000e+00 3.550000e+00
0.000000e+00 0.000000e+00 -1.835000e+00 3.650000e+00
8.701733e-02 8.701732e-02 -1.835000e+00 3.750000e+00
-2.399038e-04 1.514754e-01 -1.835000e+00 3.850000e+00
1.737689e-01 1.228735e-01 -1.835000e+00 3.950000e+00
-8.870017e-02 8.870017e-02 -1.835000e+00 4.050000e+00
9.939196e-02 9.939197e-02 -1.835000e+00 4.150000e+00
