# Intensity Error [0.5H,0,0] DeltaE
#  shape: 34x70
1.878010e-01 1.399573e-01 1.350000e-01 5.950000e+00
-1.166083e-01 1.531232e-01 1.350000e-01 6.050000e+00
-2.743457e-01 1.822104e-01 1.350000e-01 6.150000e+00
3.909463e-02 1.845739e-01 1.350000e-01 6.250000e+00
2.317705e-03 1.967243e-01 1.350000e-01 6.350000e+00
1.630804e-01 2.975586e-01 1.350000e-01 6.450000e+00
3.278367e-01 3.222338e-01 1.350000e-01 6.550000e+00
0.000000e+00 0.000000e+00 1.350000e-01 6.650000e+00
nan nan 1.350000e-01 6.750000e+00
nan nan 1.350000e-01 6.850000e+00
nan nan 1.350000e-01 6.950000e+00
2.035163e+01 1.033199e+00 1.650000e-01 5.000000e-02
6.330958e+00 5.389277e-01 1.650000e-01 1.500000e-01
9.925518e-01 2.328227e-01 1.650000e-01 2.500000e-01
2.614528e-01 1.169255e-01 1.650000e-01 3.500000e-01
2.283255e-01 1.021104e-01 1.650000e-01 4.500000e-01
9.780797e-02 9.796642e-02 1.650000e-01 5.500000e-01
5.221459e-02 5.221459e-02 1.650000e-01 6.500000e-01
2.327077e-01 1.040702e-01 1.650000e-01 7.500000e-01
1.435024e-01 8.285141e-02 1.650000e-01 8.500000e-01
1.487724e-01 8.589388e-02 1.650000e-01 9.500000e-01
9.609971e-02 9.611624e-02 1.650000e-01 1.050000e+00
5.005063e-02 5.005063e-02 1.650000e-01 1.150000e+00
4.505597e-02 4.505597e-02 1.650000e-01 1.250000e+00
4.785401e-02 4.785401e-02 1.650000e-01 1.350000e+00
5.518024e-02 5.518023e-02 1.650000e-01 1.450000e+00
-4.217048e-02 9.356652e-02 1.650000e-01 1.550000e+00
0.000000e+00 0.000000e+00 1.650000e-01 1.650000e+00
5.937987e-02 1.031747e-01 1.650000e-01 1.750000e+00
8.089221e-02 5.719952e-02 1.650000e-01 1.850000e+00
-4.833416e-02 4.833416e-02 1.650000e-01 1.950000e+00
5.854315e-02 1.009697e-01 1.650000e-01 2.050000e+00
1.988747e-01 8.893976e-02 1.650000e-01 2.150000e+00
5.133486e-02 5.133486e-02 1.650000e-01 2.250000e+00
3.036962e-01 1.430760e-01 1.650000e-01 2.350000e+00
0.000000e+00 0.000000e+00 1.650000e-01 2.450000e+00
-2.760762e-04 7.350215e-02 1.650000e-01 2.550000e+00
3.805276e-04 8.710203e-02 1.650000e-01 2.650000e+00
2.061654e-01 1.030829e-01 1.650000e-01 2.750000e+00
4.291907e-02 7.431904e-02 1.650000e-01 2.850000e+00
4.470701e-02 4.470701e-02 1.650000e-01 2.950000e+00
0.000000e+00 0.000000e+00 1.650000e-01 3.050000e+00
3.242329e-02 5.574850e-02 1.650000e-01 3.150000e+00
-2.257565e-01 1.303410e-01 1.650000e-01 3.250000e+00
7.997112e-02 5.654824e-02 1.650000e-01 3.350000e+00
6.906638e-02 6.906740e-02 1.650000e-01 3.450000e+00
1.537110e-01 1.537110e-01 1.650000e-01 3.550000e+00
1.744395e-01 7.476981e-02 1.650000e-01 3.650000e+00
0.000000e+00 0.000000e+00 1.650000e-01 3.750000e+00
2.209106e-01 1.041323e-01 1.650000e-01 3.850000e+00
-3.026373e-04 9.040037e-02 1.650000e-01 3.950000e+00
2.910428e-01 1.680341e-01 1.650000e-01 4.050000e+00
9.754711e-02 4.877411e-02 1.650000e-01 4.150000e+00
-2.931218e-01 2.072685e-01 1.650000e-01 4.250000e+00
2.512615e-01 1.082391e-01 1.650000e-01 4.350000e+00
2.959386e-04 1.250921e-01 1.650000e-01 4.450000e+00
1.814796e-01 8.116135e-02 1.650000e-01 4.550000e+00
-4.050873e-02 9.011066e-02 1.650000e-01 4.650000e+00
-2.177879e-04 6.533713e-02 1.650000e-01 4.750000e+00
-5.887835e-04 9.368482e-02 1.650000e-01 4.850000e+00
5.015587e-02 5.015587e-02 1.650000e-01 4.950000e+00
-3.309080e-02 9.762534e-02 1.650000e-01 5.050000e+00
4.693728e-02 1.049990e-01 1.650000e-01 5.150000e+00
